video_idx,mse_diff
0,0.00103452
1,0.00051449
2,0.00035189
3,0.00025780
4,0.00032098
5,0.00064806
6,0.00090361
7,0.00094426
8,0.00042792
9,0.00061535
10,0.00071003
11,0.00034278
12,0.00050470
13,0.00079866
14,0.00072855
15,0.00053143
16,0.00078104
17,0.00030006
18,0.00027650
19,0.00072104
20,0.00052306
21,0.00030888
22,0.00033548
23,0.00113069
24,0.00083936
25,0.00055054
26,0.00068435
27,0.00060756
28,0.00146531
29,0.00039439
30,0.00053623
31,0.00070005
32,0.00041774
33,0.00039273
34,0.00066534
35,0.00134541
36,0.00031987
37,0.00035321
38,0.00061690
39,0.00040228
40,0.00065657
41,0.00046096
42,0.00037789
43,0.00066689
44,0.00031836
45,0.00020430
46,0.00026860
47,0.00062666
48,0.00036902
49,0.00081318
50,0.00034688
51,0.00035832
52,0.00065620
53,0.00103519
54,0.00033562
55,0.00081502
56,0.00033000
57,0.00031246
58,0.00039960
59,0.00050441
60,0.00024804
61,0.00042467
62,0.00044986
63,0.00074190
64,0.00121420
65,0.00034449
66,0.00044923
67,0.00028833
68,0.00049265
69,0.00076273
70,0.00036557
71,0.00066908
72,0.00030545
73,0.00061038
74,0.00037754
75,0.00049383
76,0.00046070
77,0.00035111
78,0.00039679
79,0.00033247
80,0.00049210
81,0.00092050
82,0.00082299
83,0.00047994
84,0.00063660
85,0.00072831
86,0.00035786
87,0.00029324
88,0.00108403
89,0.00031137
90,0.00020140
91,0.00035177
92,0.00021513
93,0.00042317
94,0.00033941
95,0.00060633
96,0.00022334
97,0.00056421
98,0.00063816
99,0.00078472
